SKU,Título,Armazém,Estante,Estoque Baixo,Em Trânsito(Compra),Em Trânsito(Transferência）,Ocupado,Disponível,Estoque Atual,Custo Médio,Subtotal,Criado
13513,Poltrona Premium Uxuá Pés Em Madeira Linhão Marrom/preto,Av Felix 01,,0,0,0,0,26,26,"339,55","8828,3",2026-07-17 16:44:29
16196,Poltrona Sofisticada Elegante Uxuá Tecido Linho Terracota Com Pés Madeira Amêndoa Para Sala Estar Escritório - Minha Loj,Av Felix 01,,0,0,0,0,38,38,"449,5",17081,2026-07-17 16:44:29
13134,Poltrona Premium Uxuá Pés Em Madeira Luxo Linho Decorativa Sala Estar Recepção Várias Cores - MLDM Linho Areia,Av Felix 01,,0,0,0,0,35,35,"339,55","11884,25",2026-07-17 16:44:29
2297,Poltrona Caraíva Linhão Marrom Misto,Av Felix 01,,0,0,0,0,20,20,"299,5",5990,2026-07-17 16:44:29
7089,Poltrona Caraíva Decorativa  Em Madeira  Areia Escuro,Av Felix 01,,0,0,0,0,59,59,"299,5","17670,5",2026-07-17 16:44:29
16167,Namoradeira Poltrona 2 Lugares Mona New Pés Madeira Sala Verde Sage,Av Felix 01,,0,0,0,0,3,3,"414,5","1243,5",2026-07-17 16:44:29
14722,Cor:Linho Areia,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 21:16:51
101011,Beliche Perola Branco,Estoque,,0,0,0,0,500,500,1,500,2026-06-25 21:16:51
201011,Beliche Castanho Perolada,Estoque,,0,0,0,0,900,900,1,900,2026-06-25 21:16:51
LARA002,CABECEIRA EXTENSIVEL LARA 2,Estoque,,0,0,0,0,100,100,1,100,2026-06-25 21:16:51
MLB3948736765,Mesa De Centro Classic Tebarrot Nature Pes Madeira Amêndoa,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 21:16:51
MLB3974303819,Mesa De Centro Classic Tebarrot Off White Amêndoa Sala Cor Off White/amêndoa,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 21:16:51
MLB3983491361,Mesa Lateral Para Sala De Estar 13x Nature Tebarrot Classic,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 21:16:51
11835,Puff Para Sala De Estar Paris 336 Terracota Fb,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 21:16:51
11844,Puff Para Sala De Estar Paris 227 Linho Areia Fawt,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 21:16:51
14392,Kit 2 Cadeira Jantar Allegra Linho Cinza Com Marrom P/ Sala,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 21:16:51
15344,Kit 2 Cadeiras Jantar Estofada Detroit Linho Com Pés Madeira,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 21:16:51
15365,Kit 2 Cadeira Jantar Allegra Tecido Linho C/ Courino P/ Sala,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 21:16:51
15362,Kit 2 Cadeira Jantar Allegra Tecido Linho C/ Courino P/ Sala,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 21:16:51
15335,Kit 2 Cadeiras Jantar Estofada Detroit Linho Com Pés Madeira,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 21:16:51
14410,Conjunto 2 Cadeira Jantar Allegra Courino Caramelo P/ Sala,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 21:16:51
15341,Kit 2 Cadeiras Jantar Estofada Detroit Linho Com Pés Madeira,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 21:16:51
15451,Aparador Buffet Decorativo Sofisticado Duna Com Portas Ripadas Nature - Minha Loja De Móveis,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 21:16:51
11364,"Prateleira Elegante Organizadora 2,18 Com Led P/ Sala Quarto",Estoque,,0,0,0,0,0,0,1,0,2026-06-25 21:16:51
1555,"Cabeceira Moderna Casal Sicilia 1,40 Castanho Para Quarto",Estoque,,0,0,0,0,0,0,1,0,2026-06-25 21:16:51
11360,"Prateleira Organizadora Elegante Com Led 1,50 Sala Quarto",Estoque,,0,0,0,0,0,0,1,0,2026-06-25 21:16:51
864,Aparador Buffet Premium 2 Gavetas Elegante Para Hall Sala,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 21:16:51
1736,Aparador Buffet Premium 2 Gavetas Elegante Para Hall Sala,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 21:16:51
1028,Aparador Buffet Premium 2 Gavetas Para Hall Entrada Sala,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 21:16:51
906,Aparador Rack Extensível Netuno Sofisticado Para Sala Estar,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 21:16:51
464,Aparador Buffet Premium 2 Gavetas Para Hall Entrada Sala,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 21:16:51
1354,"Estante Painel Luna 1,60 Com Led 1 Prateleira Para Tv Sala Branco",Estoque,,0,0,0,0,0,0,1,0,2026-06-25 21:16:51
1368,"Estante Painel Com Led Luna 1,80 1 Prateleira Para Sala Preto",Estoque,,0,0,0,0,0,0,1,0,2026-06-25 21:16:51
1370,"Estante Painel Marte 2 Nichos 1 Prateleira 1,80 P/ Tv Sala Branco",Estoque,,0,0,0,0,0,0,1,0,2026-06-25 21:16:51
1376,"Estante Painel Marte 2 Nichos 1 Prateleira 1,80 P/ Tv Sala Off White",Estoque,,0,0,0,0,0,0,1,0,2026-06-25 21:16:51
11323,Estante Painel Vênus Com Prateleira 136cm Para Tv Sala Gianduia/nature,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 21:16:51
1366,"Estante Painel Com Led Luna 1,80 1 Prateleira Para Sala Off White",Estoque,,0,0,0,0,0,0,1,0,2026-06-25 21:16:51
2377,Cor:Cru,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
11394,Cor:Gianduia,Estoque,,0,0,0,0,0,0,1,0,2026-06-25 20:33:31
